id;identifier;type_id;power;pp;accuracy;priority
1;pound;1;40;35;100;0
2;karate-chop;2;50;25;100;0
3;double-slap;1;15;10;85;0
4;comet-punch;1;18;15;85;0
5;mega-punch;1;80;20;85;0
6;pay-day;1;40;20;100;0
7;fire-punch;10;75;15;100;0
8;ice-punch;15;75;15;100;0
9;thunder-punch;13;75;15;100;0
10;scratch;1;40;35;100;0
11;vice-grip;1;55;30;100;0
12;guillotine;1;;5;30;0
13;razor-wind;1;80;10;100;0
14;swords-dance;1;;20;;0
15;cut;1;50;30;95;0
16;gust;3;40;35;100;0
17;wing-attack;3;60;35;100;0
18;whirlwind;1;;20;;-6
19;fly;3;90;15;95;0
20;bind;1;15;20;85;0
21;slam;1;80;20;75;0
22;vine-whip;12;45;25;100;0
23;stomp;1;65;20;100;0
24;double-kick;2;30;30;100;0
25;mega-kick;1;120;5;75;0
26;jump-kick;2;100;10;95;0
27;rolling-kick;2;60;15;85;0
28;sand-attack;5;;15;100;0
29;headbutt;1;70;15;100;0
30;horn-attack;1;65;25;100;0
31;fury-attack;1;15;20;85;0
32;horn-drill;1;;5;30;0
33;tackle;1;40;35;100;0
34;body-slam;1;85;15;100;0
35;wrap;1;15;20;90;0
36;take-down;1;90;20;85;0
37;thrash;1;120;10;100;0
38;double-edge;1;120;15;100;0
39;tail-whip;1;;30;100;0
40;poison-sting;4;15;35;100;0
41;twineedle;7;25;20;100;0
42;pin-missile;7;25;20;95;0
43;leer;1;;30;100;0
44;bite;17;60;25;100;0
45;growl;1;;40;100;0
46;roar;1;;20;;-6
47;sing;1;;15;55;0
48;supersonic;1;;20;55;0
49;sonic-boom;1;;20;90;0
50;disable;1;;20;100;0
51;acid;4;40;30;100;0
52;ember;10;40;25;100;0
53;flamethrower;10;90;15;100;0
54;mist;15;;30;;0
55;water-gun;11;40;25;100;0
56;hydro-pump;11;110;5;80;0
57;surf;11;90;15;100;0
58;ice-beam;15;90;10;100;0
59;blizzard;15;110;5;70;0
60;psybeam;14;65;20;100;0
61;bubble-beam;11;65;20;100;0
62;aurora-beam;15;65;20;100;0
63;hyper-beam;1;150;5;90;0
64;peck;3;35;35;100;0
65;drill-peck;3;80;20;100;0
66;submission;2;80;20;80;0
67;low-kick;2;;20;100;0
68;counter;2;;20;100;-5
69;seismic-toss;2;;20;100;0
70;strength;1;80;15;100;0
71;absorb;12;20;25;100;0
72;mega-drain;12;40;15;100;0
73;leech-seed;12;;10;90;0
74;growth;1;;20;;0
75;razor-leaf;12;55;25;95;0
76;solar-beam;12;120;10;100;0
77;poison-powder;4;;35;75;0
78;stun-spore;12;;30;75;0
79;sleep-powder;12;;15;75;0
80;petal-dance;12;120;10;100;0
81;string-shot;7;;40;95;0
82;dragon-rage;16;;10;100;0
83;fire-spin;10;35;15;85;0
84;thunder-shock;13;40;30;100;0
85;thunderbolt;13;90;15;100;0
86;thunder-wave;13;;20;90;0
87;thunder;13;110;10;70;0
88;rock-throw;6;50;15;90;0
89;earthquake;5;100;10;100;0
90;fissure;5;;5;30;0
91;dig;5;80;10;100;0
92;toxic;4;;10;90;0
93;confusion;14;50;25;100;0
94;psychic;14;90;10;100;0
95;hypnosis;14;;20;60;0
96;meditate;14;;40;;0
97;agility;14;;30;;0
98;quick-attack;1;40;30;100;1
99;rage;1;20;20;100;0
100;teleport;14;;20;;-6
101;night-shade;8;;15;100;0
102;mimic;1;;10;;0
103;screech;1;;40;85;0
104;double-team;1;;15;;0
105;recover;1;;5;;0
106;harden;1;;30;;0
107;minimize;1;;10;;0
108;smokescreen;1;;20;100;0
109;confuse-ray;8;;10;100;0
110;withdraw;11;;40;;0
111;defense-curl;1;;40;;0
112;barrier;14;;20;;0
113;light-screen;14;;30;;0
114;haze;15;;30;;0
115;reflect;14;;20;;0
116;focus-energy;1;;30;;0
117;bide;1;;10;;1
118;metronome;1;;10;;0
119;mirror-move;3;;20;;0
120;self-destruct;1;200;5;100;0
121;egg-bomb;1;100;10;75;0
122;lick;8;30;30;100;0
123;smog;4;30;20;70;0
124;sludge;4;65;20;100;0
125;bone-club;5;65;20;85;0
126;fire-blast;10;110;5;85;0
127;waterfall;11;80;15;100;0
128;clamp;11;35;15;85;0
129;swift;1;60;20;;0
130;skull-bash;1;130;10;100;0
131;spike-cannon;1;20;15;100;0
132;constrict;1;10;35;100;0
133;amnesia;14;;20;;0
134;kinesis;14;;15;80;0
135;soft-boiled;1;;5;;0
136;high-jump-kick;2;130;10;90;0
137;glare;1;;30;100;0
138;dream-eater;14;100;15;100;0
139;poison-gas;4;;40;90;0
140;barrage;1;15;20;85;0
141;leech-life;7;80;10;100;0
142;lovely-kiss;1;;10;75;0
143;sky-attack;3;140;5;90;0
144;transform;1;;10;;0
145;bubble;11;40;30;100;0
146;dizzy-punch;1;70;10;100;0
147;spore;12;;15;100;0
148;flash;1;;20;100;0
149;psywave;14;;15;100;0
150;splash;1;;40;;0
151;acid-armor;4;;20;;0
152;crabhammer;11;100;10;90;0
153;explosion;1;250;5;100;0
154;fury-swipes;1;18;15;80;0
155;bonemerang;5;50;10;90;0
156;rest;14;;5;;0
157;rock-slide;6;75;10;90;0
158;hyper-fang;1;80;15;90;0
159;sharpen;1;;30;;0
160;conversion;1;;30;;0
161;tri-attack;1;80;10;100;0
162;super-fang;1;;10;90;0
163;slash;1;70;20;100;0
164;substitute;1;;10;;0
165;struggle;1;50;1;;0