pokemon_id;stat_id;base_stat;effort
1;1;45;0
1;2;49;0
1;3;49;0
1;4;65;1
1;5;65;0
1;6;45;0
2;1;60;0
2;2;62;0
2;3;63;0
2;4;80;1
2;5;80;1
2;6;60;0
3;1;80;0
3;2;82;0
3;3;83;0
3;4;100;2
3;5;100;1
3;6;80;0
4;1;39;0
4;2;52;0
4;3;43;0
4;4;60;0
4;5;50;0
4;6;65;1
5;1;58;0
5;2;64;0
5;3;58;0
5;4;80;1
5;5;65;0
5;6;80;1
6;1;78;0
6;2;84;0
6;3;78;0
6;4;109;3
6;5;85;0
6;6;100;0
7;1;44;0
7;2;48;0
7;3;65;1
7;4;50;0
7;5;64;0
7;6;43;0
8;1;59;0
8;2;63;0
8;3;80;1
8;4;65;0
8;5;80;1
8;6;58;0
9;1;79;0
9;2;83;0
9;3;100;0
9;4;85;0
9;5;105;3
9;6;78;0
10;1;45;1
10;2;30;0
10;3;35;0
10;4;20;0
10;5;20;0
10;6;45;0
11;1;50;0
11;2;20;0
11;3;55;2
11;4;25;0
11;5;25;0
11;6;30;0
12;1;60;0
12;2;45;0
12;3;50;0
12;4;90;2
12;5;80;1
12;6;70;0
13;1;40;0
13;2;35;0
13;3;30;0
13;4;20;0
13;5;20;0
13;6;50;1
14;1;45;0
14;2;25;0
14;3;50;2
14;4;25;0
14;5;25;0
14;6;35;0
15;1;65;0
15;2;90;2
15;3;40;0
15;4;45;0
15;5;80;1
15;6;75;0
16;1;40;0
16;2;45;0
16;3;40;0
16;4;35;0
16;5;35;0
16;6;56;1
17;1;63;0
17;2;60;0
17;3;55;0
17;4;50;0
17;5;50;0
17;6;71;2
18;1;83;0
18;2;80;0
18;3;75;0
18;4;70;0
18;5;70;0
18;6;101;3
19;1;30;0
19;2;56;0
19;3;35;0
19;4;25;0
19;5;35;0
19;6;72;1
20;1;55;0
20;2;81;0
20;3;60;0
20;4;50;0
20;5;70;0
20;6;97;2
21;1;40;0
21;2;60;0
21;3;30;0
21;4;31;0
21;5;31;0
21;6;70;1
22;1;65;0
22;2;90;0
22;3;65;0
22;4;61;0
22;5;61;0
22;6;100;2
23;1;35;0
23;2;60;1
23;3;44;0
23;4;40;0
23;5;54;0
23;6;55;0
24;1;60;0
24;2;95;2
24;3;69;0
24;4;65;0
24;5;79;0
24;6;80;0
25;1;35;0
25;2;55;0
25;3;40;0
25;4;50;0
25;5;50;0
25;6;90;2
26;1;60;0
26;2;90;0
26;3;55;0
26;4;90;0
26;5;80;0
26;6;110;3
27;1;50;0
27;2;75;0
27;3;85;1
27;4;20;0
27;5;30;0
27;6;40;0
28;1;75;0
28;2;100;0
28;3;110;2
28;4;45;0
28;5;55;0
28;6;65;0
29;1;55;1
29;2;47;0
29;3;52;0
29;4;40;0
29;5;40;0
29;6;41;0
30;1;70;2
30;2;62;0
30;3;67;0
30;4;55;0
30;5;55;0
30;6;56;0
31;1;90;3
31;2;92;0
31;3;87;0
31;4;75;0
31;5;85;0
31;6;76;0
32;1;46;0
32;2;57;1
32;3;40;0
32;4;40;0
32;5;40;0
32;6;50;0
33;1;61;0
33;2;72;2
33;3;57;0
33;4;55;0
33;5;55;0
33;6;65;0
34;1;81;0
34;2;102;3
34;3;77;0
34;4;85;0
34;5;75;0
34;6;85;0
35;1;70;2
35;2;45;0
35;3;48;0
35;4;60;0
35;5;65;0
35;6;35;0
36;1;95;3
36;2;70;0
36;3;73;0
36;4;95;0
36;5;90;0
36;6;60;0
37;1;38;0
37;2;41;0
37;3;40;0
37;4;50;0
37;5;65;0
37;6;65;1
38;1;73;0
38;2;76;0
38;3;75;0
38;4;81;0
38;5;100;1
38;6;100;1
39;1;115;2
39;2;45;0
39;3;20;0
39;4;45;0
39;5;25;0
39;6;20;0
40;1;140;3
40;2;70;0
40;3;45;0
40;4;85;0
40;5;50;0
40;6;45;0
41;1;40;0
41;2;45;0
41;3;35;0
41;4;30;0
41;5;40;0
41;6;55;1
42;1;75;0
42;2;80;0
42;3;70;0
42;4;65;0
42;5;75;0
42;6;90;2
43;1;45;0
43;2;50;0
43;3;55;0
43;4;75;1
43;5;65;0
43;6;30;0
44;1;60;0
44;2;65;0
44;3;70;0
44;4;85;2
44;5;75;0
44;6;40;0
45;1;75;0
45;2;80;0
45;3;85;0
45;4;110;3
45;5;90;0
45;6;50;0
46;1;35;0
46;2;70;1
46;3;55;0
46;4;45;0
46;5;55;0
46;6;25;0
47;1;60;0
47;2;95;2
47;3;80;1
47;4;60;0
47;5;80;0
47;6;30;0
48;1;60;0
48;2;55;0
48;3;50;0
48;4;40;0
48;5;55;1
48;6;45;0
49;1;70;0
49;2;65;0
49;3;60;0
49;4;90;1
49;5;75;0
49;6;90;1
50;1;10;0
50;2;55;0
50;3;25;0
50;4;35;0
50;5;45;0
50;6;95;1
51;1;35;0
51;2;100;0
51;3;50;0
51;4;50;0
51;5;70;0
51;6;120;2
52;1;40;0
52;2;45;0
52;3;35;0
52;4;40;0
52;5;40;0
52;6;90;1
53;1;65;0
53;2;70;0
53;3;60;0
53;4;65;0
53;5;65;0
53;6;115;2
54;1;50;0
54;2;52;0
54;3;48;0
54;4;65;1
54;5;50;0
54;6;55;0
55;1;80;0
55;2;82;0
55;3;78;0
55;4;95;2
55;5;80;0
55;6;85;0
56;1;40;0
56;2;80;1
56;3;35;0
56;4;35;0
56;5;45;0
56;6;70;0
57;1;65;0
57;2;105;2
57;3;60;0
57;4;60;0
57;5;70;0
57;6;95;0
58;1;55;0
58;2;70;1
58;3;45;0
58;4;70;0
58;5;50;0
58;6;60;0
59;1;90;0
59;2;110;2
59;3;80;0
59;4;100;0
59;5;80;0
59;6;95;0
60;1;40;0
60;2;50;0
60;3;40;0
60;4;40;0
60;5;40;0
60;6;90;1
61;1;65;0
61;2;65;0
61;3;65;0
61;4;50;0
61;5;50;0
61;6;90;2
62;1;90;0
62;2;95;0
62;3;95;3
62;4;70;0
62;5;90;0
62;6;70;0
63;1;25;0
63;2;20;0
63;3;15;0
63;4;105;1
63;5;55;0
63;6;90;0
64;1;40;0
64;2;35;0
64;3;30;0
64;4;120;2
64;5;70;0
64;6;105;0
65;1;55;0
65;2;50;0
65;3;45;0
65;4;135;3
65;5;95;0
65;6;120;0
66;1;70;0
66;2;80;1
66;3;50;0
66;4;35;0
66;5;35;0
66;6;35;0
67;1;80;0
67;2;100;2
67;3;70;0
67;4;50;0
67;5;60;0
67;6;45;0
68;1;90;0
68;2;130;3
68;3;80;0
68;4;65;0
68;5;85;0
68;6;55;0
69;1;50;0
69;2;75;1
69;3;35;0
69;4;70;0
69;5;30;0
69;6;40;0
70;1;65;0
70;2;90;2
70;3;50;0
70;4;85;0
70;5;45;0
70;6;55;0
71;1;80;0
71;2;105;3
71;3;65;0
71;4;100;0
71;5;70;0
71;6;70;0
72;1;40;0
72;2;40;0
72;3;35;0
72;4;50;0
72;5;100;1
72;6;70;0
73;1;80;0
73;2;70;0
73;3;65;0
73;4;80;0
73;5;120;2
73;6;100;0
74;1;40;0
74;2;80;0
74;3;100;1
74;4;30;0
74;5;30;0
74;6;20;0
75;1;55;0
75;2;95;0
75;3;115;2
75;4;45;0
75;5;45;0
75;6;35;0
76;1;80;0
76;2;120;0
76;3;130;3
76;4;55;0
76;5;65;0
76;6;45;0
77;1;50;0
77;2;85;0
77;3;55;0
77;4;65;0
77;5;65;0
77;6;90;1
78;1;65;0
78;2;100;0
78;3;70;0
78;4;80;0
78;5;80;0
78;6;105;2
79;1;90;1
79;2;65;0
79;3;65;0
79;4;40;0
79;5;40;0
79;6;15;0
80;1;95;0
80;2;75;0
80;3;110;2
80;4;100;0
80;5;80;0
80;6;30;0
81;1;25;0
81;2;35;0
81;3;70;0
81;4;95;1
81;5;55;0
81;6;45;0
82;1;50;0
82;2;60;0
82;3;95;0
82;4;120;2
82;5;70;0
82;6;70;0
83;1;52;0
83;2;90;1
83;3;55;0
83;4;58;0
83;5;62;0
83;6;60;0
84;1;35;0
84;2;85;1
84;3;45;0
84;4;35;0
84;5;35;0
84;6;75;0
85;1;60;0
85;2;110;2
85;3;70;0
85;4;60;0
85;5;60;0
85;6;110;0
86;1;65;0
86;2;45;0
86;3;55;0
86;4;45;0
86;5;70;1
86;6;45;0
87;1;90;0
87;2;70;0
87;3;80;0
87;4;70;0
87;5;95;2
87;6;70;0
88;1;80;1
88;2;80;0
88;3;50;0
88;4;40;0
88;5;50;0
88;6;25;0
89;1;105;1
89;2;105;1
89;3;75;0
89;4;65;0
89;5;100;0
89;6;50;0
90;1;30;0
90;2;65;0
90;3;100;1
90;4;45;0
90;5;25;0
90;6;40;0
91;1;50;0
91;2;95;0
91;3;180;2
91;4;85;0
91;5;45;0
91;6;70;0
92;1;30;0
92;2;35;0
92;3;30;0
92;4;100;1
92;5;35;0
92;6;80;0
93;1;45;0
93;2;50;0
93;3;45;0
93;4;115;2
93;5;55;0
93;6;95;0
94;1;60;0
94;2;65;0
94;3;60;0
94;4;130;3
94;5;75;0
94;6;110;0
95;1;35;0
95;2;45;0
95;3;160;1
95;4;30;0
95;5;45;0
95;6;70;0
96;1;60;0
96;2;48;0
96;3;45;0
96;4;43;0
96;5;90;1
96;6;42;0
97;1;85;0
97;2;73;0
97;3;70;0
97;4;73;0
97;5;115;2
97;6;67;0
98;1;30;0
98;2;105;1
98;3;90;0
98;4;25;0
98;5;25;0
98;6;50;0
99;1;55;0
99;2;130;2
99;3;115;0
99;4;50;0
99;5;50;0
99;6;75;0
100;1;40;0
100;2;30;0
100;3;50;0
100;4;55;0
100;5;55;0
100;6;100;1
101;1;60;0
101;2;50;0
101;3;70;0
101;4;80;0
101;5;80;0
101;6;150;2
102;1;60;0
102;2;40;0
102;3;80;1
102;4;60;0
102;5;45;0
102;6;40;0
103;1;95;0
103;2;95;0
103;3;85;0
103;4;125;2
103;5;75;0
103;6;55;0
104;1;50;0
104;2;50;0
104;3;95;1
104;4;40;0
104;5;50;0
104;6;35;0
105;1;60;0
105;2;80;0
105;3;110;2
105;4;50;0
105;5;80;0
105;6;45;0
106;1;50;0
106;2;120;2
106;3;53;0
106;4;35;0
106;5;110;0
106;6;87;0
107;1;50;0
107;2;105;0
107;3;79;0
107;4;35;0
107;5;110;2
107;6;76;0
108;1;90;2
108;2;55;0
108;3;75;0
108;4;60;0
108;5;75;0
108;6;30;0
109;1;40;0
109;2;65;0
109;3;95;1
109;4;60;0
109;5;45;0
109;6;35;0
110;1;65;0
110;2;90;0
110;3;120;2
110;4;85;0
110;5;70;0
110;6;60;0
111;1;80;0
111;2;85;0
111;3;95;1
111;4;30;0
111;5;30;0
111;6;25;0
112;1;105;0
112;2;130;2
112;3;120;0
112;4;45;0
112;5;45;0
112;6;40;0
113;1;250;2
113;2;5;0
113;3;5;0
113;4;35;0
113;5;105;0
113;6;50;0
114;1;65;0
114;2;55;0
114;3;115;1
114;4;100;0
114;5;40;0
114;6;60;0
115;1;105;2
115;2;95;0
115;3;80;0
115;4;40;0
115;5;80;0
115;6;90;0
116;1;30;0
116;2;40;0
116;3;70;0
116;4;70;1
116;5;25;0
116;6;60;0
117;1;55;0
117;2;65;0
117;3;95;1
117;4;95;1
117;5;45;0
117;6;85;0
118;1;45;0
118;2;67;1
118;3;60;0
118;4;35;0
118;5;50;0
118;6;63;0
119;1;80;0
119;2;92;2
119;3;65;0
119;4;65;0
119;5;80;0
119;6;68;0
120;1;30;0
120;2;45;0
120;3;55;0
120;4;70;0
120;5;55;0
120;6;85;1
121;1;60;0
121;2;75;0
121;3;85;0
121;4;100;0
121;5;85;0
121;6;115;2
122;1;40;0
122;2;45;0
122;3;65;0
122;4;100;0
122;5;120;2
122;6;90;0
123;1;70;0
123;2;110;1
123;3;80;0
123;4;55;0
123;5;80;0
123;6;105;0
124;1;65;0
124;2;50;0
124;3;35;0
124;4;115;2
124;5;95;0
124;6;95;0
125;1;65;0
125;2;83;0
125;3;57;0
125;4;95;0
125;5;85;0
125;6;105;2
126;1;65;0
126;2;95;0
126;3;57;0
126;4;100;2
126;5;85;0
126;6;93;0
127;1;65;0
127;2;125;2
127;3;100;0
127;4;55;0
127;5;70;0
127;6;85;0
128;1;75;0
128;2;100;1
128;3;95;0
128;4;40;0
128;5;70;0
128;6;110;1
129;1;20;0
129;2;10;0
129;3;55;0
129;4;15;0
129;5;20;0
129;6;80;1
130;1;95;0
130;2;125;2
130;3;79;0
130;4;60;0
130;5;100;0
130;6;81;0
131;1;130;2
131;2;85;0
131;3;80;0
131;4;85;0
131;5;95;0
131;6;60;0
132;1;48;1
132;2;48;0
132;3;48;0
132;4;48;0
132;5;48;0
132;6;48;0
133;1;55;0
133;2;55;0
133;3;50;0
133;4;45;0
133;5;65;1
133;6;55;0
134;1;130;2
134;2;65;0
134;3;60;0
134;4;110;0
134;5;95;0
134;6;65;0
135;1;65;0
135;2;65;0
135;3;60;0
135;4;110;0
135;5;95;0
135;6;130;2
136;1;65;0
136;2;130;2
136;3;60;0
136;4;95;0
136;5;110;0
136;6;65;0
137;1;65;0
137;2;60;0
137;3;70;0
137;4;85;1
137;5;75;0
137;6;40;0
138;1;35;0
138;2;40;0
138;3;100;1
138;4;90;0
138;5;55;0
138;6;35;0
139;1;70;0
139;2;60;0
139;3;125;2
139;4;115;0
139;5;70;0
139;6;55;0
140;1;30;0
140;2;80;0
140;3;90;1
140;4;55;0
140;5;45;0
140;6;55;0
141;1;60;0
141;2;115;2
141;3;105;0
141;4;65;0
141;5;70;0
141;6;80;0
142;1;80;0
142;2;105;0
142;3;65;0
142;4;60;0
142;5;75;0
142;6;130;2
143;1;160;2
143;2;110;0
143;3;65;0
143;4;65;0
143;5;110;0
143;6;30;0
144;1;90;0
144;2;85;0
144;3;100;0
144;4;95;0
144;5;125;3
144;6;85;0
145;1;90;0
145;2;90;0
145;3;85;0
145;4;125;3
145;5;90;0
145;6;100;0
146;1;90;0
146;2;100;0
146;3;90;0
146;4;125;3
146;5;85;0
146;6;90;0
147;1;41;0
147;2;64;1
147;3;45;0
147;4;50;0
147;5;50;0
147;6;50;0
148;1;61;0
148;2;84;2
148;3;65;0
148;4;70;0
148;5;70;0
148;6;70;0
149;1;91;0
149;2;134;3
149;3;95;0
149;4;100;0
149;5;100;0
149;6;80;0
150;1;106;0
150;2;110;0
150;3;90;0
150;4;154;3
150;5;90;0
150;6;130;0
151;1;100;3
151;2;100;0
151;3;100;0
151;4;100;0
151;5;100;0
151;6;100;0